Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
1HOPSAT-TD;NR;USA;Hera Systems;Commercial;Earth Observation
Aalto-1;Finland;Finland;Aalto University;Civil;Technology Development
AAUSat-4;Denmark;Denmark;University of Aalborg;Civil;Earth Observation
ABS-2;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications
ABS-2A;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications
ABS-3A;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications
ABS-4;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications
ABS-6;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications
Adelis-Sampson 1;NR;Israel;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Government;Technology Development
Adelis-Sampson 2;NR;Israel;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Government;Technology Development
Adelis-Sampson 3;NR;Israel;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Government;Technology Development
USA 311;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 139;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 171;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 202;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 223;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 237;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 268;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 235;USA;USA;US Air Force;Military;Communications
USA 246;NR;USA;US Air Force;Military;Communications
USA 288;USA;USA;US Air Force;Military;Communications
USA 292;USA;USA;US Air Force;Military;Communications
USA 298;USA;USA;US Air Force ;Military;Communications
Aeneas;USA;USA;Department of Homeland Security;Government;Technology Development
Aeolus;ESA;ESA;European Space Agency (ESA);Government;Earth Observation
Aerocube 10A;USA;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 10B;USA;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 11A;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 11B;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 12A;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 12B;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 14A;USA;USA;Aerospace Corporation;Military;Technology Development
Aerocube 14B;USA;USA;Aerospace Corporation;Military;Technology Development
Aerocube 15A;USA;USA;Aerospace Corporation;Military;Technology Development
Aerocube 5C;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 6A;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 6B;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 7A;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 7B;USA;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 7C;USA;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 8C;NR;USA;Aerospace Corporation;Commercial;Technology Development
Aerocube 8D;NR;USA;Aerospace Corporation;Commercial;Technology Development
Eutelsat 48D;France;Multinational;EUTELSAT S.A.;Commercial;Communications
AII-Bravo;Lithuania;USA;Aurora Insight;Commercial;Communications
AII-Charlie;NR (5/21);USA;Aurora Insight;Commercial;Communications
AIM;USA;USA;Center for Atmospheric Sciences, Hampton University/NASA;Government;Earth Observation
AISSat-1;Norway;Norway;Norwegian Coastal Admnistration;Government;Communications
AISSat-2;Norway;Norway;Norwegian Coastal Admnistration;Government;Communications
AISTechSat-2;Spain;Spain;AISTech;Commercial;Earth Observation
AISTechSat-3;Spain;Spain;AISTech;Commercial;Earth Observation
Al Yah-3;Brazil;United Arab Emirates;Al Yah Satellite Communications Co. (YAHSAT);Commercial;Communications
Alcomsat;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Communications
ALE-2;NR;Japan;Astro Live Experiences;Commercial;Earth Science
Alfa Crux;NR (4/22);Brazil;University of Brasilia;Civil;Technology Development
Al-Farabi-2;NR;Kazakhstan;Al-Farabi Kazakh National University;Civil;Technology Development
ALiCE;NR;USA;US Air Force Institute of Technology;Military;Technology Development
Alsat-1B;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation
AlSat-1N;Algeria;Algeria;Algerian Space Agency (ASAL)/UK Space Agency;Government;Technology Development
Alsat-2A;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation
Alsat-2B;Algeria;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation
Amazonas-2;Brazil;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications
Amazonas-3;Brazil;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications
Amazonas-4A;NR;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications
Amazonas-5;NR;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications
Amazonia-1;NR (5/21);Brazil;National Institute for Space Research (INPE);Government;Earth Observation
AMC-1;USA;USA;SES S.A.;Commercial;Communications
AMC-11;USA;USA;SES S.A.;Commercial;Communications
AMC-15;USA;USA;SES S.A.;Commercial;Communications
AMC-18;USA;USA;SES S.A.;Commercial;Communications
AMC-21;United Kingdom;USA;SES S.A.;Commercial;Communications
AMC-4;USA;USA;SES S.A./Gogo;Commercial;Communications
AMC-6;USA;USA;SES S.A.;Commercial;Communications
AMC-8;USA;USA;SES S.A.;Commercial;Communications
AmGU-1;Russia;Russia;Moscow State University;Civil;Space Science
Amos 17;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications
Amos 3;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications
Amos 4;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications
Amsat-Oscar 7;USA;USA;AMSAT-NA;Civil;Communications
ANASIS-II;NR (12/20);South Korea;Agency for Defense Development;Military;Communications
ANDESITE Mule;USA;USA;ANDESITE - Boston University;Civil;Space Science/Technology Demonstration
ANGELS;France;ESA;Centre National d'Etudes Spatiales (CNES);Government;Communications
Anik F1;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications
Anik F1R;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications
Anik F2;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications
Anik F3;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications
Anik G1;NR;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications
AprizeSat 1;USA;Argentina;Aprize Satellite, Argentina;Commercial;Communications/Technology Development
AprizeSat 10;NR;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking
AprizeSat 2;USA;Argentina;Aprize Satellite, Argentina;Commercial;Communications/Technology Development
AprizeSat 3;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking
AprizeSat 4;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking
AprizeSat 5;USA;Canada;Aprize Satellite, Argentina;Commercial;Communications
AprizeSat 7;USA;Canada;Aprize Satellite, Argentina;Commercial;Communications
AprizeSat 8;NR;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking
AprizeSat 9;NR;Canada;exactEarth;Commercial;Communications/Maritime Tracking
Apstar 6C;China;China;APT Satellite Holdings Ltd.;Commercial;Communications
Apstar 6D;China;China;APT Satellite Holdings Ltd.;Commercial;Communications
Apstar 7;China;China;APT Satellite Holdings Ltd.;Commercial;Communications
Apstar 9;China;China;APT Satellite Holdings Ltd.;Commercial;Communications
